Motion Database Converter
  Frame 4038: 30.65/79.03
  Frame 4039: 30.57/79.03
  Frame 4040: 30.52/79.17
  Frame 4041: 30.45/79.08
  Frame 4042: 30.40/79.11
  Frame 4043: 30.32/79.07
  Frame 4044: 30.25/78.88
  Frame 4045: 30.21/78.98
  Frame 4046: 30.17/78.95
  Frame 4047: 30.10/79.03
  Frame 4048: 30.08/78.88
  Frame 4049: 30.06/78.79
  Frame 4050: 30.04/78.97
  Frame 4051: 30.00/79.02
  Frame 4052: 29.97/79.11
  Frame 4053: 29.97/79.02
  Frame 4054: 29.96/79.03
  Frame 4055: 29.97/78.85
  Frame 4056: 29.93/78.89
  Frame 4057: 29.92/78.93
  Frame 4058: 29.93/79.07
  Frame 4059: 29.94/79.04
  Frame 4060: 29.95/79.00
  Frame 4061: 29.95/79.01
  Frame 4062: 29.99/79.07
  Frame 4063: 29.96/79.18
  Frame 4064: 29.95/79.36
  Frame 4065: 30.00/79.11
  Frame 4066: 29.98/79.05
  Frame 4067: 29.99/79.02
  Frame 4068: 30.01/79.02
  Frame 4069: 29.98/79.08
  Frame 4070: 30.01/78.99
  Frame 4071: 30.02/78.97
  Frame 4072: 30.03/78.87
  Frame 4073: 30.00/78.96
  Frame 4074: 30.05/78.71
  Frame 4075: 30.00/78.96
  Frame 4076: 30.06/79.03
  Frame 4077: 30.06/78.83
  Frame 4078: 30.05/78.82
  Frame 4079: 30.02/78.89
  Frame 4080: 30.03/78.84
  Frame 4081: 30.08/79.04
  Frame 4082: 30.09/79.03
  Frame 4083: 30.03/78.77
  Frame 4084: 30.01/78.75
  Frame 4085: 29.97/78.83
  Frame 4086: 29.95/78.79
  Frame 4087: 29.97/78.66
  Frame 4088: 29.94/78.69
  Frame 4089: 29.95/78.52
  Frame 4090: 29.96/78.50
  Frame 4091: 29.99/78.49
  Frame 4092: 29.99/78.37
  Frame 4093: 29.99/78.39
  Frame 4094: 30.03/78.33
  Frame 4095: 29.98/78.20
  Frame 4096: 29.98/78.26
  Frame 4097: 30.01/78.22
  Frame 4098: 29.99/78.21
  Frame 4099: 29.96/78.30
  Frame 4100: 29.96/78.43
  Frame 4101: 29.99/78.59
  Frame 4102: 30.01/78.71
  Frame 4103: 30.04/78.72
  Frame 4104: 30.10/78.85
  Frame 4105: 30.13/78.92
  Frame 4106: 30.17/78.97
  Frame 4107: 30.11/78.99
  Frame 4108: 30.18/79.03
  Frame 4109: 30.24/78.96
  Frame 4110: 30.28/78.96
  Frame 4111: 30.27/79.00
  Frame 4112: 30.31/78.86
  Frame 4113: 30.32/78.85
  Frame 4114: 30.36/78.86
  Frame 4115: 30.39/78.78
  Frame 4116: 30.43/78.68
  Frame 4117: 30.45/78.67
  Frame 4118: 30.47/78.62
  Frame 4119: 30.48/78.55
  Frame 4120: 30.47/78.52
  Frame 4121: 30.48/78.45
  Frame 4122: 30.50/78.48
  Frame 4123: 30.50/78.46
  Frame 4124: 30.50/78.44
  Frame 4125: 30.49/78.47
  Frame 4126: 30.50/78.53
  Frame 4127: 30.48/78.45
  Frame 4128: 30.48/78.46
  Frame 4129: 30.47/78.55
  Frame 4130: 30.46/78.63
  Frame 4131: 30.46/78.66
  Frame 4132: 30.46/78.60
  Frame 4133: 30.44/78.61
  Frame 4134: 30.42/78.62
  Frame 4135: 30.41/78.57
  Frame 4136: 30.42/78.60
  Frame 4137: 30.41/78.53
  Frame 4138: 30.41/78.43
  Frame 4139: 30.41/78.39
  Frame 4140: 30.41/78.41
  Frame 4141: 30.41/78.42
  Frame 4142: 30.41/78.46
  Frame 4143: 30.41/78.51
  Frame 4144: 30.41/78.56
  Frame 4145: 30.42/78.65
  Frame 4146: 30.43/78.72
  Frame 4147: 30.44/78.80
  Frame 4148: 30.45/78.79
  Frame 4149: 30.46/78.84
  Frame 4150: 30.50/78.86
  Frame 4151: 30.53/78.85
  Frame 4152: 30.54/78.84
  Frame 4153: 30.58/78.84
  Frame 4154: 30.61/78.78
  Frame 4155: 30.63/78.73
  Frame 4156: 30.67/78.63
  Frame 4157: 30.72/78.58
  Frame 4158: 30.76/78.45
  Frame 4159: 30.81/78.44
  Frame 4160: 30.87/78.33
  Frame 4161: 30.91/78.29
  Frame 4162: 30.96/78.23
  Frame 4163: 31.02/78.24
  Frame 4164: 31.07/78.26
  Frame 4165: 31.12/78.07
  Frame 4166: 31.07/78.16
  Frame 4167: 31.04/78.02
  Frame 4168: 31.01/77.97
  Frame 4169: 30.95/78.00
  Frame 4170: 30.91/77.90
  Frame 4171: 30.85/78.05
  Frame 4172: 30.75/78.26
  Frame 4173: 30.72/78.16
  Frame 4174: 30.64/78.30
  Frame 4175: 30.63/78.28
  Frame 4176: 30.59/78.30
  Frame 4177: 30.59/78.38
  Frame 4178: 30.58/78.38
  Frame 4179: 30.55/78.42
  Frame 4180: 30.55/78.47
  Frame 4181: 30.58/78.37
  Frame 4182: 30.56/78.47
  Frame 4183: 30.56/78.53
  Frame 4184: 30.56/78.78
  Frame 4185: 30.54/78.65
  Frame 4186: 30.49/78.75
  Frame 4187: 30.51/78.70
  Frame 4188: 30.51/78.81
  Frame 4189: 30.49/78.74
  Frame 4190: 30.48/78.90
  Frame 4191: 30.44/79.09
  Frame 4192: 30.43/79.05
  Frame 4193: 30.37/79.12
  Frame 4194: 30.38/78.95
  Frame 4195: 30.33/78.97
  Frame 4196: 30.32/78.99
  Frame 4197: 30.29/79.00
  Frame 4198: 30.30/78.90
  Frame 4199: 30.26/79.00
  Frame 4200: 30.23/79.06
  Frame 4201: 30.23/79.06
  Frame 4202: 30.19/79.22
  Frame 4203: 30.18/79.25
  Frame 4204: 30.21/79.15
  Frame 4205: 30.18/79.09
  Frame 4206: 30.16/79.24
  Frame 4207: 30.14/79.33
  Frame 4208: 30.13/79.24
  Frame 4209: 30.11/79.19
  Frame 4210: 30.09/79.20
  Frame 4211: 30.04/79.28
  Frame 4212: 30.06/79.39
  Frame 4213: 30.03/79.46
  Frame 4214: 30.02/79.47
  Frame 4215: 29.98/79.49
  Frame 4216: 30.01/79.49
  Frame 4217: 30.01/79.41
  Frame 4218: 29.97/79.45
  Frame 4219: 30.00/79.45
  Frame 4220: 29.94/79.42
  Frame 4221: 29.93/79.56
  Frame 4222: 29.94/79.55
  Frame 4223: 29.93/79.57
  Frame 4224: 29.95/79.42
  Frame 4225: 29.91/79.60
  Frame 4226: 29.93/79.49
  Frame 4227: 29.91/79.59
  Frame 4228: 29.92/79.61
  Frame 4229: 29.88/79.68
  Frame 4230: 29.91/79.50
  Frame 4231: 29.88/79.55
  Frame 4232: 29.86/79.53
  Frame 4233: 29.86/79.65
  Frame 4234: 29.86/79.66
  Frame 4235: 29.86/79.58
  Frame 4236: 29.85/79.63
  Frame 4237: 29.88/79.63
  Frame 4238: 29.87/79.65
  Frame 4239: 29.87/79.66
  Frame 4240: 29.88/79.58
  Frame 4241: 29.91/79.55
  Frame 4242: 29.91/79.55
  Frame 4243: 29.89/79.57
  Frame 4244: 29.94/79.50
  Frame 4245: 29.94/79.49
  Frame 4246: 29.92/79.49
  Frame 4247: 29.92/79.52
  Frame 4248: 29.93/79.54
  Frame 4249: 29.93/79.56
  Frame 4250: 29.94/79.58
  Frame 4251: 29.94/79.60
  Frame 4252: 29.93/79.65
  Frame 4253: 29.94/79.62
  Frame 4254: 29.97/79.51
  Frame 4255: 29.97/79.49
  Frame 4256: 29.96/79.51
  Frame 4257: 29.96/79.58
  Frame 4258: 29.97/79.56
  Frame 4259: 29.97/79.66
  Frame 4260: 29.97/79.73
  Frame 4261: 29.98/79.73
  Frame 4262: 29.98/79.74
  Frame 4263: 29.99/79.74
  Frame 4264: 30.00/79.76
  Frame 4265: 30.01/79.75
  Frame 4266: 30.02/79.74
  Frame 4267: 30.03/79.76
  Frame 4268: 30.04/79.73
  Frame 4269: 30.05/79.72
  Frame 4270: 30.05/79.67
  Frame 4271: 30.07/79.63
  Frame 4272: 30.07/79.60
  Frame 4273: 30.08/79.58
  Frame 4274: 30.09/79.49
  Frame 4275: 30.09/79.51
  Frame 4276: 30.08/79.49
  Frame 4277: 30.09/79.49
  Frame 4278: 30.09/79.44
  Frame 4279: 30.10/79.35
  Frame 4280: 30.10/79.37
  Frame 4281: 30.09/79.33
  Frame 4282: 30.08/79.35
  Frame 4283: 30.08/79.39
  Frame 4284: 30.04/79.40
  Frame 4285: 30.05/79.30
  Frame 4286: 30.06/79.22
  Frame 4287: 30.04/79.21
  Frame 4288: 29.98/79.28
  Frame 4289: 29.98/79.24
  Frame 4290: 29.97/79.20
  Frame 4291: 29.96/79.15
  Frame 4292: 29.95/79.51
  Frame 4293: 29.94/79.96
  Frame 4294: 29.93/80.51
  Frame 4295: 29.89/81.04
  Frame 4296: 29.90/81.61
  Frame 4297: 29.88/82.07
  Frame 4298: 29.88/82.44
  Frame 4299: 29.89/82.68
  Frame 4300: 29.86/82.99
  Frame 4301: 29.81/82.85
  Frame 4302: 29.78/82.45
  Frame 4303: 29.71/82.15
  Frame 4304: 29.64/81.75
  Frame 4305: 29.63/80.94
  Frame 4306: 29.63/80.22
  Frame 4307: 29.61/79.78
  Frame 4308: 29.59/79.31
  Frame 4309: 29.61/78.91
  Frame 4310: 29.59/78.90
  Frame 4311: 29.64/78.64
  Frame 4312: 29.61/78.75
  Frame 4313: 29.59/78.76
  Frame 4314: 29.56/78.49
  Frame 4315: 29.64/78.53
  Frame 4316: 29.57/78.61
  Frame 4317: 29.59/78.46
  Frame 4318: 29.55/78.44
  Frame 4319: 29.53/78.52
  Frame 4320: 29.50/78.51
  Frame 4321: 29.46/78.44
  Frame 4322: 29.43/78.38
  Frame 4323: 29.43/78.45
  Frame 4324: 29.45/78.39
  Frame 4325: 29.43/78.39
  Frame 4326: 29.44/78.37
  Frame 4327: 29.45/78.28
  Frame 4328: 29.42/78.26
  Frame 4329: 29.45/78.39
  Frame 4330: 29.42/78.38
  Frame 4331: 29.42/78.32
  Frame 4332: 29.46/78.20
  Frame 4333: 29.47/78.13
  Frame 4334: 29.42/78.24
  Frame 4335: 29.41/78.44
  Frame 4336: 29.46/78.31
  Frame 4337: 29.45/78.22
  Frame 4338: 29.43/78.42
  Frame 4339: 29.43/78.53
  Frame 4340: 29.47/78.47
  Frame 4341: 29.49/78.55
  Frame 4342: 29.47/78.72
  Frame 4343: 29.52/78.74
  Frame 4344: 29.50/78.87
  Frame 4345: 29.55/79.03
  Frame 4346: 29.58/78.97
  Frame 4347: 29.62/79.07
  Frame 4348: 29.57/79.28
  Frame 4349: 29.59/79.19
  Frame 4350: 29.61/79.26
  Frame 4351: 29.63/79.12
  Frame 4352: 29.65/79.08
  Frame 4353: 29.57/79.05
  Frame 4354: 29.59/78.86
  Frame 4355: 29.60/78.87
  Frame 4356: 29.63/78.85
  Frame 4357: 29.64/78.69
  Frame 4358: 29.67/78.67
  Frame 4359: 29.59/78.74
  Frame 4360: 29.46/78.64
  Frame 4361: 29.46/78.49
  Frame 4362: 29.46/78.54
  Frame 4363: 29.46/78.42
  Frame 4364: 29.44/78.36
  Frame 4365: 29.41/78.47
  Frame 4366: 29.38/78.54
  Frame 4367: 29.38/78.61
  Frame 4368: 29.36/78.64
  Frame 4369: 29.37/78.72
  Frame 4370: 29.38/78.75
  Frame 4371: 29.40/78.83
  Frame 4372: 29.39/78.86
  Frame 4373: 29.41/78.92
  Frame 4374: 29.44/78.98
  Frame 4375: 29.44/79.06
  Frame 4376: 29.46/79.09
  Frame 4377: 29.49/79.06
  Frame 4378: 29.52/79.13
  Frame 4379: 29.56/79.17
  Frame 4380: 29.60/79.18
  Frame 4381: 29.63/79.17
  Frame 4382: 29.68/79.20
  Frame 4383: 29.72/79.19
  Frame 4384: 29.76/79.23
  Frame 4385: 29.80/79.19
  Frame 4386: 29.84/79.18
  Frame 4387: 29.88/79.20
  Frame 4388: 29.92/79.22
  Frame 4389: 29.94/79.18
  Frame 4390: 29.96/79.21
  Frame 4391: 29.98/79.24
  Frame 4392: 30.00/79.26
  Frame 4393: 30.02/79.24
  Frame 4394: 30.02/79.26
  Frame 4395: 30.03/79.28
  Frame 4396: 30.05/79.29
  Frame 4397: 30.06/79.34
  Frame 4398: 30.06/79.33
  Frame 4399: 30.05/79.26
  Frame 4400: 30.07/79.24
  Frame 4401: 30.07/79.22
  Frame 4402: 30.08/79.22
  Frame 4403: 30.10/79.18
  Frame 4404: 30.10/79.12
  Frame 4405: 30.14/79.11
  Frame 4406: 30.14/79.05
  Frame 4407: 30.17/79.10
  Frame 4408: 30.20/79.23
  Frame 4409: 30.23/79.06
  Frame 4410: 30.28/79.01
  Frame 4411: 30.29/79.05
  Frame 4412: 30.32/79.11
  Frame 4413: 30.38/78.95
  Frame 4414: 30.43/78.99
  Frame 4415: 30.46/79.15
  Frame 4416: 30.53/79.10
  Frame 4417: 30.56/79.10
  Frame 4418: 30.60/78.92
  Frame 4419: 30.61/78.90
  Frame 4420: 30.60/79.00
  Frame 4421: 30.60/79.01
  Frame 4422: 30.59/79.01
  Frame 4423: 30.38/78.93
  Frame 4424: 30.29/78.97
  Frame 4425: 30.29/79.04
  Frame 4426: 30.35/79.07
  Frame 4427: 30.31/79.19
  Frame 4428: 30.32/79.27
  Frame 4429: 30.36/79.31
  Frame 4430: 30.39/79.32
  Frame 4431: 30.43/79.30
  Frame 4432: 30.44/79.29
  Frame 4433: 30.36/79.19
  Frame 4434: 30.38/79.13
  Frame 4435: 30.36/78.97
  Frame 4436: 30.34/78.81
  Frame 4437: 30.34/78.64
  Frame 4438: 30.33/78.46
  Frame 4439: 30.30/78.25
  Frame 4440: 30.27/78.04
  Frame 4441: 30.23/78.05
  Frame 4442: 30.21/78.06
  Frame 4443: 30.23/78.08
  Frame 4444: 30.19/78.09
  Frame 4445: 30.22/78.15
  Frame 4446: 30.20/78.12
  Frame 4447: 30.21/78.14
  Frame 4448: 30.19/78.28
  Frame 4449: 30.20/78.32
  Frame 4450: 30.19/78.29
  Frame 4451: 30.20/78.36
  Frame 4452: 30.22/78.32
  Frame 4453: 30.22/78.37
  Frame 4454: 30.21/78.43
  Frame 4455: 30.21/78.43
  Frame 4456: 30.20/78.45
  Frame 4457: 30.21/78.50
  Frame 4458: 30.23/78.44
  Frame 4459: 30.23/78.42
  Frame 4460: 30.23/78.43
  Frame 4461: 30.25/78.49
  Frame 4462: 30.26/78.50
  Frame 4463: 30.28/78.39
  Frame 4464: 30.28/78.54
  Frame 4465: 30.28/78.70
  Frame 4466: 30.29/78.60
  Frame 4467: 30.28/78.72
  Frame 4468: 30.28/78.74
  Frame 4469: 30.30/78.83
  Frame 4470: 30.31/78.86
  Frame 4471: 30.31/78.98
  Frame 4472: 30.31/78.94
  Frame 4473: 30.31/79.04
  Frame 4474: 30.32/79.13
  Frame 4475: 30.30/79.47
  Frame 4476: 30.29/79.44
  Frame 4477: 30.30/79.52
  Frame 4478: 30.33/79.53
  Frame 4479: 30.30/79.72
  Frame 4480: 30.30/79.82
  Frame 4481: 30.31/79.84
  Frame 4482: 30.32/79.88
  Frame 4483: 30.32/80.03
  Frame 4484: 30.34/80.10
  Frame 4485: 30.34/80.10
  Frame 4486: 30.35/80.21
  Frame 4487: 30.37/80.20
  Frame 4488: 30.38/80.20
  Frame 4489: 30.39/80.38
  Frame 4490: 30.41/80.33
  Frame 4491: 30.43/80.33
  Frame 4492: 30.44/80.40
  Frame 4493: 30.47/80.39
  Frame 4494: 30.48/80.43
  Frame 4495: 30.49/80.48
  Frame 4496: 30.49/80.43
  Frame 4497: 30.50/80.47
  Frame 4498: 30.51/80.46
  Frame 4499: 30.50/80.49
  Frame 4500: 30.52/80.48
  Frame 4501: 30.52/80.52
  Frame 4502: 30.53/80.51
  Frame 4503: 30.53/80.50
  Frame 4504: 30.54/80.44
  Frame 4505: 30.54/80.50
  Frame 4506: 30.55/80.39
  Frame 4507: 30.55/80.41
  Frame 4508: 30.56/80.43
  Frame 4509: 30.56/80.44
  Frame 4510: 30.57/80.41
  Frame 4511: 30.57/80.43
  Frame 4512: 30.57/80.44
  Frame 4513: 30.57/80.43
  Frame 4514: 30.58/80.42
  Frame 4515: 30.57/80.49
  Frame 4516: 30.57/80.45
  Frame 4517: 30.58/80.50
  Frame 4518: 30.58/80.47
  Frame 4519: 30.58/80.47
  Frame 4520: 30.58/80.51
  Frame 4521: 30.58/80.50
  Frame 4522: 30.59/80.49
  Frame 4523: 30.59/80.52
  Frame 4524: 30.59/80.53
  Frame 4525: 30.59/80.53
  Frame 4526: 30.59/80.54
  Frame 4527: 30.59/80.55
  Frame 4528: 30.59/80.57
  Frame 4529: 30.59/80.59
  Frame 4530: 30.59/80.52
  Frame 4531: 30.59/80.54
  Frame 4532: 30.58/80.53
  Frame 4533: 30.58/80.52
  Frame 4534: 30.57/80.52
  Frame 4535: 30.58/80.52
  Frame 4536: 30.57/80.56
  Frame 4537: 30.57/80.58
  Frame 4538: 30.56/80.59
  Frame 4539: 30.55/80.58
  Frame 4540: 30.54/80.59
  Frame 4541: 30.53/80.55
  Frame 4542: 30.51/80.54
  Frame 4543: 30.51/80.49
  Frame 4544: 30.49/80.44
  Frame 4545: 30.46/80.42
  Frame 4546: 30.44/80.41
  Frame 4547: 30.42/80.38
  Frame 4548: 30.40/80.33
  Frame 4549: 30.36/80.35
  Frame 4550: 30.34/80.19
  Frame 4551: 30.32/80.24
  Frame 4552: 30.27/80.25
  Frame 4553: 30.25/80.19
  Frame 4554: 30.21/80.15
  Frame 4555: 30.19/80.14
  Frame 4556: 30.17/80.09
  Frame 4557: 30.14/80.12
  Frame 4558: 30.12/80.13
  Frame 4559: 30.09/80.09
  Frame 4560: 30.06/80.10
  Frame 4561: 30.04/80.16
  Frame 4562: 30.02/80.09
  Frame 4563: 30.00/80.12
  Frame 4564: 29.97/80.10
  Frame 4565: 29.95/80.17
  Frame 4566: 29.95/80.20
  Frame 4567: 29.93/80.25
  Frame 4568: 29.93/80.23
  Frame 4569: 29.91/80.20
  Frame 4570: 29.89/80.23
  Frame 4571: 29.91/80.30
  Frame 4572: 29.89/80.27
  Frame 4573: 29.85/80.22
  Frame 4574: 29.85/80.30
  Frame 4575: 29.83/80.24
  Frame 4576: 29.81/80.30
  Frame 4577: 29.80/80.31
  Frame 4578: 29.81/80.33
  Frame 4579: 29.78/80.41
  Frame 4580: 29.79/80.31
  Frame 4581: 29.80/80.36
  Frame 4582: 29.79/80.44
  Frame 4583: 29.78/80.37
  Frame 4584: 29.78/80.35
  Frame 4585: 29.78/80.25
  Frame 4586: 29.79/80.23
  Frame 4587: 29.78/80.36
  Frame 4588: 29.78/80.30
  Frame 4589: 29.78/80.25
  Frame 4590: 29.79/80.33
  Frame 4591: 29.75/80.36
  Frame 4592: 29.76/80.38
  Frame 4593: 29.76/80.32
  Frame 4594: 29.74/80.33
  Frame 4595: 29.73/80.32
  Frame 4596: 29.76/80.16
  Frame 4597: 29.77/80.12
  Frame 4598: 29.77/80.09
  Frame 4599: 29.80/79.92
  Frame 4600: 29.83/79.88
  Frame 4601: 29.81/79.84
  Frame 4602: 29.84/79.94
  Frame 4603: 29.89/79.90
  Frame 4604: 29.84/80.04
  Frame 4605: 29.88/79.99
  Frame 4606: 29.85/80.07
  Frame 4607: 29.84/80.20
  Frame 4608: 29.88/80.16
  Frame 4609: 29.84/80.20
  Frame 4610: 29.82/80.16
  Frame 4611: 29.81/80.15
  Frame 4612: 29.85/80.12
  Frame 4613: 29.80/80.19
  Frame 4614: 29.82/80.19
  Frame 4615: 29.83/80.16
  Frame 4616: 29.81/80.18
  Frame 4617: 29.80/80.21
  Frame 4618: 29.76/80.36
  Frame 4619: 29.80/80.36
  Frame 4620: 29.77/80.25
  Frame 4621: 29.77/80.32
  Frame 4622: 29.76/80.39
  Frame 4623: 29.76/80.41
  Frame 4624: 29.76/80.37
  Frame 4625: 29.76/80.40
  Frame 4626: 29.77/80.49
  Frame 4627: 29.77/80.42
  Frame 4628: 29.77/80.40
  Frame 4629: 29.74/80.37
  Frame 4630: 29.74/80.33
  Frame 4631: 29.73/80.44
  Frame 4632: 29.70/80.43
  Frame 4633: 29.72/80.40
  Frame 4634: 29.70/80.33
  Frame 4635: 29.70/80.27
  Frame 4636: 29.68/80.25
  Frame 4637: 29.67/80.30
  Frame 4638: 29.68/80.40
  Frame 4639: 29.67/80.38
  Frame 4640: 29.65/80.22
  Frame 4641: 29.64/80.30
  Frame 4642: 29.65/80.49
  Frame 4643: 29.65/80.40
  Frame 4644: 29.66/80.44
  Frame 4645: 29.66/80.44
  Frame 4646: 29.64/80.49
  Frame 4647: 29.64/80.63
  Frame 4648: 29.64/80.58
  Frame 4649: 29.61/80.73
  Frame 4650: 29.60/80.78
  Frame 4651: 29.61/80.73
  Frame 4652: 29.61/80.68
  Frame 4653: 29.59/80.74
  Frame 4654: 29.57/80.71
  Frame 4655: 29.57/80.71
  Frame 4656: 29.57/80.71
  Frame 4657: 29.53/80.73
  Frame 4658: 29.50/80.81
  Frame 4659: 29.49/80.70
  Frame 4660: 29.47/80.69
  Frame 4661: 29.50/80.62
  Frame 4662: 29.43/80.62
  Frame 4663: 29.41/80.52
  Frame 4664: 29.39/80.47
  Frame 4665: 29.39/80.43
  Frame 4666: 29.36/80.47
  Frame 4667: 29.36/80.25
  Frame 4668: 29.36/80.30
  Frame 4669: 29.37/80.23
  Frame 4670: 29.37/80.18
  Frame 4671: 29.33/80.11
  Frame 4672: 29.33/80.07
  Frame 4673: 29.33/80.10
  Frame 4674: 29.34/80.00
  Frame 4675: 29.33/80.12
  Frame 4676: 29.34/80.02
  Frame 4677: 29.32/79.96
  Frame 4678: 29.36/79.88
  Frame 4679: 29.37/79.88
  Frame 4680: 29.37/79.84
  Frame 4681: 29.37/79.79
  Frame 4682: 29.38/79.71
  Frame 4683: 29.42/79.71
  Frame 4684: 29.39/79.72
  Frame 4685: 29.46/79.60
  Frame 4686: 29.43/79.66
  Frame 4687: 29.47/79.69
  Frame 4688: 29.47/79.70
  Frame 4689: 29.50/79.62
  Frame 4690: 29.52/79.61
  Frame 4691: 29.54/79.58
  Frame 4692: 29.56/79.54
  Frame 4693: 29.58/79.77
  Frame 4694: 29.60/79.71
  Frame 4695: 29.62/79.69
  Frame 4696: 29.65/79.64
  Frame 4697: 29.66/79.66
  Frame 4698: 29.68/79.69
  Frame 4699: 29.70/79.65
  Frame 4700: 29.71/79.57
  Frame 4701: 29.74/79.59
  Frame 4702: 29.74/79.58
  Frame 4703: 29.74/79.59
  Frame 4704: 29.73/79.60
  Frame 4705: 29.75/79.61
  Frame 4706: 29.75/79.61
  Frame 4707: 29.75/79.57
  Frame 4708: 29.75/79.53
  Frame 4709: 29.74/79.50
  Frame 4710: 29.74/79.56
  Frame 4711: 29.74/79.54
  Frame 4712: 29.73/79.50
  Frame 4713: 29.73/79.48
  Frame 4714: 29.73/79.43
  Frame 4715: 29.73/79.49
  Frame 4716: 29.73/79.49
  Frame 4717: 29.73/79.47
  Frame 4718: 29.73/79.45
  Frame 4719: 29.73/79.49
  Frame 4720: 29.74/79.43
  Frame 4721: 29.74/79.47
  Frame 4722: 29.74/79.46
  Frame 4723: 29.75/79.50
  Frame 4724: 29.75/79.52
  Frame 4725: 29.75/79.54
  Frame 4726: 29.74/79.52
  Frame 4727: 29.75/79.54
  Frame 4728: 29.75/79.54
  Frame 4729: 29.75/79.53
  Frame 4730: 29.74/79.58
  Frame 4731: 29.75/79.53
  Frame 4732: 29.74/79.54
  Frame 4733: 29.74/79.54
  Frame 4734: 29.73/79.54
  Frame 4735: 29.72/79.55
  Frame 4736: 29.71/79.55
  Frame 4737: 29.70/79.56
  Frame 4738: 29.70/79.53
  Frame 4739: 29.70/79.52
  Frame 4740: 29.69/79.52
  Frame 4741: 29.69/79.51
  Frame 4742: 29.68/79.51
  Frame 4743: 29.67/79.54
  Frame 4744: 29.67/79.54
  Frame 4745: 29.68/79.53
  Frame 4746: 29.68/79.53
  Frame 4747: 29.68/79.54
  Frame 4748: 29.68/79.53
  Frame 4749: 29.68/79.52
  Frame 4750: 29.68/79.53
  Frame 4751: 29.68/79.57
  Frame 4752: 29.68/79.56
  Frame 4753: 29.68/79.54
  Frame 4754: 29.69/79.55
  Frame 4755: 29.69/79.54
  Frame 4756: 29.70/79.52
  Frame 4757: 29.70/79.55
  Frame 4758: 29.71/79.53
  Frame 4759: 29.71/79.54
  Frame 4760: 29.71/79.55
  Frame 4761: 29.72/79.57
  Frame 4762: 29.72/79.57
  Frame 4763: 29.72/79.56
  Frame 4764: 29.73/79.56
  Frame 4765: 29.73/79.57
  Frame 4766: 29.73/79.59
  Frame 4767: 29.73/79.60
  Frame 4768: 29.74/79.58
  Frame 4769: 29.74/79.59
  Frame 4770: 29.74/79.60
  Frame 4771: 29.75/79.59
  Frame 4772: 29.75/79.62
  Frame 4773: 29.74/79.64
  Frame 4774: 29.74/79.65
  Frame 4775: 29.74/79.67
  Frame 4776: 29.74/79.65
  Frame 4777: 29.74/79.65
  Frame 4778: 29.74/79.69
  Frame 4779: 29.74/79.68
  Frame 4780: 29.74/79.66
  Frame 4781: 29.73/79.67
  Frame 4782: 29.73/79.64
  Frame 4783: 29.73/79.63
  Frame 4784: 29.73/79.62
  Frame 4785: 29.73/79.62
  Frame 4786: 29.73/79.61
  Frame 4787: 29.73/79.59
  Frame 4788: 29.73/79.58
  Frame 4789: 29.73/79.56
  Frame 4790: 29.73/79.56
  Frame 4791: 29.73/79.57
  Frame 4792: 29.74/79.59
  Frame 4793: 29.74/79.56
  Frame 4794: 29.75/79.59
  Frame 4795: 29.75/79.62
  Frame 4796: 29.76/79.63
  Frame 4797: 29.76/79.64
  Frame 4798: 29.77/79.67
  Frame 4799: 29.78/79.65
  Frame 4800: 29.79/79.65
  Frame 4801: 29.79/79.67
  Frame 4802: 29.80/79.67
  Frame 4803: 29.80/79.67
  Frame 4804: 29.81/79.69
  Frame 4805: 29.82/79.66
  Frame 4806: 29.82/79.67
  Frame 4807: 29.82/79.69
  Frame 4808: 29.82/79.69
  Frame 4809: 29.82/79.67
  Frame 4810: 29.82/79.68
  Frame 4811: 29.82/79.67
  Frame 4812: 29.82/79.66
  Frame 4813: 29.82/79.68
  Frame 4814: 29.81/79.73
  Frame 4815: 29.81/79.71
  Frame 4816: 29.81/79.73
  Frame 4817: 29.81/79.74
  Frame 4818: 29.80/79.73
  Frame 4819: 29.79/79.74
  Frame 4820: 29.79/79.73
  Frame 4821: 29.78/79.77
  Frame 4822: 29.77/79.80
  Frame 4823: 29.77/79.76
  Frame 4824: 29.76/79.76
  Frame 4825: 29.76/79.75
  Frame 4826: 29.76/79.75
  Frame 4827: 29.76/79.73
  Frame 4828: 29.76/79.75
  Frame 4829: 29.76/79.73
  Frame 4830: 29.76/79.76
  Frame 4831: 29.76/79.74
  Frame 4832: 29.76/79.75
  Frame 4833: 29.77/79.74
  Frame 4834: 29.77/79.75
  Frame 4835: 29.77/79.77
  Frame 4836: 29.77/79.78
  Frame 4837: 29.77/79.79
  Frame 4838: 29.77/79.80
  Frame 4839: 29.77/79.84
  Frame 4840: 29.77/79.86
  Frame 4841: 29.77/79.89
  Frame 4842: 29.77/79.86
  Frame 4843: 29.76/79.87
  Frame 4844: 29.75/79.89
  Frame 4845: 29.75/79.90
  Frame 4846: 29.75/79.94
  Frame 4847: 29.74/79.94
  Frame 4848: 29.73/79.95
  Frame 4849: 29.73/79.94
  Frame 4850: 29.72/79.97
  Frame 4851: 29.72/80.00
  Frame 4852: 29.71/79.95
  Frame 4853: 29.70/79.96
  Frame 4854: 29.70/79.98
  Frame 4855: 29.70/80.01
  Frame 4856: 29.69/80.00
  Frame 4857: 29.70/79.97
  Frame 4858: 29.70/79.98
  Frame 4859: 29.70/80.01
  Frame 4860: 29.69/80.02
